"id","name","unit","minValMale","maxValMale","normalRangeMale","minValFemale","maxValFemale","normalRangeFemale","minValBaby","maxValBaby","normalRangeBaby","normalRangeDefault","createdAt","updatedAt","workspaceId","code","criticalMaxValBaby","criticalMaxValDefault","criticalMaxValFemale","criticalMaxValMale","criticalMinValBaby","criticalMinValDefault","criticalMinValFemale","criticalMinValMale"
"2053","Karyotype Result","None",NULL,NULL,"46,XY",NULL,NULL,"46,XX",NULL,NULL,"46,XX or 46,XY","46,XX or 46,XY (Normal)","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2054","Interpretation","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Normal","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2055","Serum Sodium","mEq/L","135","145","135 - 145","135","145","135 - 145","133","144","133 - 144","135 - 145","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2056","Serum Chloride","mEq/L","96","106","96 - 106","96","106","96 - 106","94","110","94 - 110","96 - 106","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2057","Urea/Creatinine Ratio","ratio","30","50","30 - 50","30","50","30 - 50","30","50","30 - 50","30 - 50","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2058","LE Cell Preparation",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2059","LDL/HDL Ratio","Ratio","0","3.5","0.0–3.5","0","3","0.0–3.0",NULL,NULL,,"Below 3.5","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2060","Alanine Aminotransferase (ALT)","U/L","7","56","7–56","7","45","7–45","5","35","5–35",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2061","Aspartate Aminotransferase (AST)","U/L","10","40","10–40","9","32","9–32","15","60","15–60",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2062","Lactate Dehydrogenase (LDH)","U/L","140","280","140–280","140","280","140–280","120","300","120–300",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2063","Leptin","ng/mL","0.5","13","0.5–13.0","1.1","27.6","1.1–27.6",NULL,NULL,,,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2064","Levofloxacin","µg/mL",NULL,NULL,"Therapeutic: 2.0 - 8.0 µg/mL",NULL,NULL,"Therapeutic: 2.0 - 8.0 µg/mL",NULL,NULL,"Therapeutic: 2.0 - 8.0 µg/mL","Therapeutic: 2.0 - 8.0 µg/mL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2065","LH:FSH Ratio","Ratio","0.5","2","0.5–2.0","0.5","2","0.5–2.0",NULL,NULL,,"0.5–2.0","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2066","Linezolid","µg/mL",NULL,NULL,"2–8",NULL,NULL,"2–8",NULL,NULL,"2–8","2–8 µg/mL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2067","Triglycerides","mg/dL","0","150","<150","0","150","<150","0","90","<90","<150 mg/dL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2068","Lithium, Serum","mmol/L","0.6","1.2","0.6–1.2","0.6","1.2","0.6–1.2","0.6","1.2","0.6–1.2","0.6–1.2","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2069","Total Bilirubin","mg/dL","0.2","1.2","0.2 - 1.2","0.2","1.2","0.2 - 1.2","0.2","1","0.2 - 1.0","0.2 - 1.2","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2070","Direct Bilirubin","mg/dL","0","0.3","0.0 - 0.3","0","0.3","0.0 - 0.3","0","0.3","0.0 - 0.3","0.0 - 0.3","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2071","SGOT (AST)","U/L","8","48","8 - 48","8","48","8 - 48","10","50","10 - 50","8 - 48","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2072","SGPT (ALT)","U/L","7","55","7 - 55","7","55","7 - 55","5","35","5 - 35","7 - 55","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2073","Total Protein","g/dL","6","8.3","6.0 - 8.3","6","8.3","6.0 - 8.3","5.5","7.5","5.5 - 7.5","6.0 - 8.3","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2074","Gamma Glutamyl Transferase (GGT)","U/L","9","48","9 - 48","9","48","9 - 48","5","30","5 - 30","9 - 48","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2075","Lupus Anticoagulant",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2076","Lymphocyte-to-Monocyte Ratio (LMR)","Ratio",NULL,NULL,"2.0–5.0",NULL,NULL,"2.0–5.0",NULL,NULL,"2.0–5.0","2.0–5.0","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2077","Macrophages","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2078","Magnesium","mg/dL","1.7","2.2","1.7–2.2","1.7","2.2","1.7–2.2","1.5","1.9","1.5–1.9","1.7–2.2","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2079","Malaria Parasite Antigen (P. vivax and P. falciparum)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2080","Malaria Antigen (Pf & Pv)",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2081","Malarial Parasites (Peripheral Blood Smear)","Qualitative",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2082","Species Identification","-NA-",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable","Not Applicable","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2083","Malarial Parasites (MP) Smear","None",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2084","Mantoux Test (5 TU)","mm",NULL,NULL,"< 5 mm (Induration)",NULL,NULL,"< 5 mm (Induration)",NULL,NULL,"< 5 mm (Induration)","Negative (< 5 mm induration); Positive (≥ 5 mm, ≥ 10 mm, or ≥ 15 mm depending on risk factors)","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2085","Mantoux Test (Tuberculin Skin Test)","mm",NULL,NULL,"< 5 mm (Negative)",NULL,NULL,"< 5 mm (Negative)",NULL,NULL,"< 5 mm (Negative)","< 5 mm (Negative)","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2086","Mean Platelet Volume (MPV)","fL","7.5","11.5","7.5–11.5","7.5","11.5","7.5–11.5","7","11","7.0–11.0",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2087","Mentzer Index","ratio",NULL,NULL,"> 13",NULL,NULL,"> 13",NULL,NULL,"> 13","> 13 (suggests Iron Deficiency Anemia); < 13 (suggests Thalassemia Trait)","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2088","Meropenem","mg/L",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2089","Microfilaria IgG/IgM Rapid Test",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2090","Moxifloxacin","Not Applicable",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2091","Mycobacterium Tuberculosis DNA PCR (Qualitative)",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2092","GeneXpert MTB/RIF","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2093","Rifampicin Resistance","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2094","Myeloblast and Monocytoid Cells","None",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2095","Myoglobin","ng/mL","0","85","0-85","0","70","0-70","0","70","0-70","0-85 ng/mL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2096","Nalidixic Acid (NA)",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2097","Netilmicin (Peak)","µg/mL","5","12","5.0 - 12.0","5","12","5.0 - 12.0","5","12","5.0 - 12.0",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2098","Netilmicin (Trough)","µg/mL","0.5","2","0.5 - 2.0","0.5","2","0.5 - 2.0","0.5","2","0.5 - 2.0",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2099","Netilmicin (NET)","µg/mL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Trough: 0.5–2.0 µg/mL; Peak: 5.0–12.0 µg/mL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2100","Netilmicin","µg/mL",NULL,NULL,"Peak: 5.0–10.0; Trough: <2.0",NULL,NULL,"Peak: 5.0–10.0; Trough: <2.0",NULL,NULL,"Peak: 5.0–10.0; Trough: <2.0","Peak: 5.0–10.0 µg/mL; Trough: <2.0 µg/mL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2101","Neutrophil-Lymphocyte Ratio (NLR)","Ratio","0.7","3.5","0.7–3.5","0.7","3.5","0.7–3.5","0.5","3","0.5–3.0","0.7–3.5","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2102","Neutrophils (Absolute Count)","X 10³/ μL","1.5","8","1.5–8.0","1.5","8","1.5–8.0","1","8.5","1.0–8.5",NULL,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2103","Neutrophils (Percentage)","%","40","70","40.0–70.0","40","70","40.0–70.0","15","45","15.0–45.0",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2104","Non-HDL Cholesterol","mg/dL","0","130","< 130","0","130","< 130","0","120","< 120","< 130 mg/dL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2105","Norfloxacin","Negative/Positive",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2106","NT-proBNP","pg/mL",NULL,"125","< 125 pg/mL",NULL,"125","< 125 pg/mL",NULL,NULL,"Age-dependent; higher in neonates",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2107","Ofloxacin","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2108","Pap Smear Interpretation","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative for Intraepithelial Lesion or Malignancy","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2109","Specimen Adequacy",,NULL,NULL,,NULL,NULL,"Satisfactory for evaluation",NULL,NULL,,"Satisfactory for evaluation","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2110","Paracheck Malaria (P. falciparum HRP-2)","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2111","Parahit Total for Malaria",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2112","Penicillin Concentration","mcg/mL",NULL,NULL,"Therapeutic range varies by regimen and indication",NULL,NULL,"Therapeutic range varies by regimen and indication",NULL,NULL,"Therapeutic range varies by regimen and indication","Variable (Dependent on dose and renal function)","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2113","Testosterone (Total)","ng/dL","300","1000","300 - 1000","15","70","15 - 70","0","20","0 - 20",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2114","Packed Cell Volume (Haematocrit)","%","41","53","41–53","36","46","36–46","33","44","33–44",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2115","Pericardial Fluid Appearance","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Clear, straw-colored","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2116","Pericardial Fluid Total Nucleated Cell Count","cells/µL","0","1000","< 1000","0","1000","< 1000","0","1000","< 1000",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2117","Pericardial Fluid Glucose","mg/dL","70","100","Approximately equal to serum","70","100","Approximately equal to serum","70","100","Approximately equal to serum",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2118","Pericardial Fluid Protein","g/dL","1","3","1.0 - 3.0","1","3","1.0 - 3.0","1","3","1.0 - 3.0",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2119","Pericardial Fluid LDH","U/L",NULL,NULL,"< 60% of serum upper limit",NULL,NULL,"< 60% of serum upper limit",NULL,NULL,"< 60% of serum upper limit",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2120","Pericardial Fluid Total Protein","g/dL",NULL,NULL,"1.0–3.0",NULL,NULL,"1.0–3.0",NULL,NULL,"1.0–3.0",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2121","Pericardial Fluid Culture","None",NULL,NULL,"No growth",NULL,NULL,"No growth",NULL,NULL,"No growth","No growth","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2122","Pericardial Fluid Sensitivity","None",NULL,NULL,"Not applicable",NULL,NULL,"Not applicable",NULL,NULL,"Not applicable","Not applicable","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2123","Pericardial Fluid Cytology",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Normal / Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2124","Peripheral Blood Film Examination","Text",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic","Normocytic Normochromic","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2125","Peripheral Smear Examination","None",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic","Normocytic Normochromic","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2126","Peripheral Smear for Malaria Parasite",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2127","Peripheral Blood Smear for Microfilaria","Not detected / Detected",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2128","Total Nucleated Cell Count","cells/µL","0","500","< 500","0","500","< 500","0","500","< 500","< 500 cells/µL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2129","Peritoneal Fluid for Acid-Fast Bacilli (AFB)","Not Applicable",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2130","Piperacillin/Tazobactam","NA",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Susceptible","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2131","Piperacillin/Tazobactam (P/T)","mg/L",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2132","Blood Glucose, Fasting","mg/dL","70","99","70-99","70","99","70-99","70","100","70-100","70-99","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2133","Blood Glucose, 2-Hour Postprandial","mg/dL","70","139","70-139","70","139","70-139","70","130","70-130","70-139","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2134","Plasma Glucose (Fasting)","mg/dL","70","99","70-99","70","99","70-99","60","100","60-100","70-99","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2135","Plasma Glucose (Postprandial)","mg/dL","80","139","80-139","80","139","80-139","70","130","70-130","80-139","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2136","Plasma Glucose (Post Prandial)","mg/dL","70","140","70-140","70","140","70-140","70","140","70-140","70-140","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2137","Plasma Glucose (Random)","mg/dL","70","200","70-200","70","200","70-200","70","200","70-200","70-200","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2138","Blood Glucose, Post Prandial","mg/dL","70","140","70-140","70","140","70-140","70","130","70-130","70-140","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2139","Platelet-Lymphocyte Ratio (PLR)","Ratio","50","200","50–200","50","200","50–200",NULL,NULL,,"50–200","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2140","Platelet Distribution Width (PDW)","fL","9","17","9.0–17.0","9","17","9.0–17.0","9","17","9.0–17.0","9.0–17.0","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2141","Plateletcrit (PCT)","%","0.15","0.45","0.15–0.45","0.15","0.45","0.15–0.45","0.15","0.45","0.15–0.45",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2142","Pleural Fluid Culture and Sensitivity",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"No growth","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2143","Pleural Fluid Appearance","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Clear, straw-colored","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2144","Pleural Fluid Protein","g/dL",NULL,NULL,"< 3.0 g/dL",NULL,NULL,"< 3.0 g/dL",NULL,NULL,"< 3.0 g/dL",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2145","Pleural Fluid LDH","IU/L",NULL,NULL,"< 2/3 of upper limit of serum normal",NULL,NULL,"< 2/3 of upper limit of serum normal",NULL,NULL,"< 2/3 of upper limit of serum normal",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2146","Pleural Fluid pH","pH",NULL,NULL,"7.60 - 7.64",NULL,NULL,"7.60 - 7.64",NULL,NULL,"7.60 - 7.64",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2147","Pleural Fluid Glucose","mg/dL",NULL,NULL,"Approx. equal to serum glucose",NULL,NULL,"Approx. equal to serum glucose",NULL,NULL,"Approx. equal to serum glucose",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2148","Complete Blood Count (CBC)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2149","Procalcitonin","ng/mL","0","0.5","< 0.5","0","0.5","< 0.5","0","0.5","< 0.5","< 0.5 ng/mL","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2150","Progesterone","ng/mL","0.2","1.4","0.2–1.4","0.1","25","Follicular: 0.1–0.7, Luteal: 2.0–25.0","0.1","0.5","0.1–0.5",,"2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2151","Promyelocytes","%","0","0","0%","0","0","0%","0","0","0%","0%","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2152","Free Prostate-Specific Antigen (Free PSA)","ng/mL",NULL,NULL,"> 0.25 (Ratio)",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable","> 0.25 (Free/Total PSA Ratio)","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2153","Free/Total PSA Ratio","Ratio","0","1","> 0.25",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable","> 0.25","2026-07-10 18:57:45.633","2026-07-10 18:57:45.633","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
